#;;HD;;;Star;;V;;Sp. type;;Field 1;Field 2;Field 3;Field 4;Field 5;Field 6;Field 7;Field 8;Field 9;Field 10;;SIMBAD Type;;References
120;&;HD;58350;&;$\eta$ CMa;&;2.45;&;B5 Ia;&;12;41;;;;;;;;;&;Blue supergiant star              ;&;
121;&;HD;61068;&;PT Pup;&;5.74;&;B2 III;&;12;;;;;;;;;;&;Variable Star of beta Cep type    ;&;
122;&;HD;61715;&;MY Pup;&;5.68;&;F7 Ib-II;&;8;23;33;50;;;;;;;&;Classical Cepheid (delta Cep type);&;
123;&;HD;62623;&;l Pup;&;3.96;&;A2 Iabe;&;12;41;;;;;;;;;&;Evolved supergiant star           ;&;
124;&;HD;62747;&;V390 Pup;&;5.60;&;B2 II;&;12;;;;;;;;;;&;Eclipsing binary                  ;&;
125;&;HD;63462;&;$\omicron$ Pup;&;4.50;&;B0 V:pe:;&;12;;;;;;;;;;&;Be Star                           ;&;
126;&;HD;63744;&;Q Pup;&;4.71;&;K0 III;&;7;;;;;;;;;;&;High proper-motion Star           ;&;
127;&;HD;63922;&;P Pup;&;4.11;&;B0 III;&;7;8;23;50;;;;;;;&;Double or multiple star           ;&;
128;&;HD;63949;&;QS Pup;&;5.81;&;B1.5 IV;&;8;23;33;;;;;;;;&;Variable Star of beta Cep type    ;&;
129;&;HD;64440;&;a Pup;&;3.73;&;K1.5 II + A0;&;7;8;34;41;42;50;;;;;&;Spectroscopic binary              ;&;
130;&;HD;64740;&;;&;4.63;&;B2 V;&;7;8;14;23;25;;;;;;&;Star                              ;&;
131;&;HD;64760;&;J Pup;&;4.24;&;B0.5 Ib;&;7;8;14;23;25;33;50;;;;&;Star                              ;&;
132;&;HD;65575;&;$\chi$ Car;&;3.47;&;B3 IVp;&;7;8;14;23;25;33;34;42;50;51;&;Variable Star of beta Cep type    ;&;
133;&;HD;65818;&;V Pup;&;4.41;&;B1 Vp + B2:;&;7;8;14;23;25;33;50;;;;&;Eclipsing binary                  ;&;
134;&;HD;66811;&;$\zeta$ Pup;&;2.25;&;O4 I(n)fp;&;7;8;14;23;25;34;41;42;50;51;&;Variable of BY Dra type           ;&;Ramiaramanantsoa et al. 2018
135;&;HD;67523;&;$\rho$ Pup;&;2.81;&;F6 IIp;&;12;41;;;;;;;;;&;Variable Star of delta Sct type   ;&;
136;&;HD;68243/73;&;$\gamma^1$/$\gamma^2$ Vel;&;4.20/1.83;&;B1 IV/WC8 + O7.5;&;7;8;14;23;25;34;42;51;;;&;Spectroscopic binary              ;&;Richardson et al. 2017
137;&;HD;68553;&;h$^1$ Pup;&;4.45;&;K3 Ib;&;7;;;;;;;;;;&;Long-period variable star         ;&;Kallinger et al. 2019
138;&;HD;69142;&;h$^2$ Pup;&;4.44;&;K1 II/III;&;7;;;;;;;;;;&;Spectroscopic binary              ;&;
139;&;HD;71129;&;$\epsilon$ Car;&;2.01;&;K3 III;&;7;25;34;42;51;;;;;;&;Star                              ;&;
140;&;HD;72127;&;;&;4.99;&;B2 IV;&;7;;;;;;;;;;&;Double or multiple star           ;&;
141;&;HD;73634;&;e Vel;&;4.14;&;A6 II;&;7;25;;;;;;;;;&;Star                              ;&;
142;&;HD;74006;&;$\beta$ Pyx;&;3.97;&;G7 Ib-II;&;7;34;42;;;;;;;;&;Star                              ;&;Kallinger et al. 2019
143;&;HD;74180;&;b Vel;&;3.84;&;F3 Ia;&;7;25;;;;;;;;;&;Variable Star                     ;&;
144;&;HD;74195;&;$\omicron$ Vel;&;3.62;&;B3 IV;&;7;14;25;34;42;51;;;;;&;Pulsating variable Star           ;&;
145;&;HD;74375;&;d Car;&;4.33;&;B1.5 III;&;7;24;25;34;36;42;43;51;;;&;Pulsating variable Star           ;&;
146;&;HD;74560;&;HY Vel;&;4.86;&;B3 IV;&;7;;;;;;;;;;&;Spectroscopic binary              ;&;
147;&;HD;74575;&;$\alpha$ Pyx;&;3.68;&;B1.5 III;&;7;;;;;;;;;;&;Variable Star                     ;&;
148;&;HD;74772;&;d Vel;&;4.07;&;G5 III;&;7;;;;;;;;;;&;Star                              ;&;
149;&;HD;74956;&;$\delta$ Vel;&;1.96;&;A1 V;&;7;25;34;42;51;;;;;;&;Eclipsing binary                  ;&;
150;&;HD;75063;&;a Vel;&;3.91;&;A0 II;&;7;;;;;;;;;;&;Star                              ;&;
151;&;HD;75311;&;f Car;&;4.49;&;B3 Vne;&;7;14;24;25;36;43;53;;;;&;Be Star                           ;&;
152;&;HD;75821;&;f Vel;&;5.12;&;B0 III;&;7;;;;;;;;;;&;Eclipsing binary                  ;&;
153;&;HD;76728;&;c Car;&;3.84;&;B8.5 II;&;7;14;24;25;34;42;51;;;;&;High proper-motion Star           ;&;
154;&;HD;77002;&;b$^1$ Car;&;4.89;&;B2 V;&;7;;;;;;;;;;&;Variable Star of beta Cep type    ;&;
155;&;HD;78004;&;c Vel;&;3.75;&;K2 III;&;7;;;;;;;;;;&;High proper-motion Star           ;&;
156;&;HD;78647;&;$\lambda$ Vel;&;2.21;&;K4.5 Ib-II;&;7;25;34;42;;;;;;;&;Long-period variable star         ;&;
